,date_tag_0,value_tag_0,date_tag_1,value_tag_1,date_tag_2,value_tag_2,date_tag_3,value_tag_3,date_tag_4,value_tag_4
77,2022-01-12T09:47:13.174,44.0,2022-01-11T09:36:23.193,44.0,2022-01-12T01:47:13.478,75.0,2022-01-11T08:59:27.287,75.0,2022-01-11T14:27:49.846,43.0
78,2022-01-12T10:17:13.099,44.0,2022-01-11T09:47:13.785,44.0,2022-01-12T02:12:13.498,75.0,2022-01-11T09:27:13.869,75.0,2022-01-11T14:51:36.843,42.8
79,2022-01-12T10:42:13.319,44.0,2022-01-11T09:49:05.092,43.0,2022-01-12T02:42:13.423,75.0,2022-01-11T09:57:13.794,75.0,2022-01-11T15:10:17.73,42.8
80,2022-01-12T11:07:13.44,44.0,2022-01-11T09:53:17.079,43.0,2022-01-12T03:07:13.444,75.0,2022-01-11T10:22:13.814,75.0,2022-01-11T15:40:13.761,42.9
81,2022-01-12T11:32:13.461,44.0,2022-01-11T10:00:17.094,44.0,2022-01-12T03:32:13.464,75.0,2022-01-11T10:47:13.835,75.0,2022-01-11T16:10:11.617,42.8
82,2022-01-12T12:02:13.285,44.0,2022-01-11T10:03:51.111,43.0,2022-01-12T04:02:13.389,75.0,2022-01-11T11:17:13.76,75.0,2022-01-11T16:36:33.454,43.0
83,2022-01-12T12:27:13.306,44.0,2022-01-11T10:12:13.806,43.0,2022-01-12T04:27:13.41,75.0,2022-01-11T11:42:13.78,75.0,2022-01-11T16:42:27.418,43.1
84,2022-01-12T12:57:13.231,44.0,2022-01-11T10:13:47.032,44.0,2022-01-12T04:52:13.43,75.0,2022-01-11T12:07:13.801,75.0,2022-01-11T16:56:47.229,43.0
85,2022-01-12T13:22:13.251,44.0,2022-01-11T10:21:07.015,43.0,2022-01-12T05:22:13.355,75.0,2022-01-11T12:37:13.726,75.0,2022-01-11T17:00:41.245,42.9
86,2022-01-12T13:47:13.272,44.0,2022-01-11T10:26:46.971,44.0,2022-01-12T05:47:13.376,75.0,2022-01-11T13:02:13.746,75.0,2022-01-11T17:07:53.319,42.9
87,2022-01-12T14:17:13.197,44.0,2022-01-11T10:28:56.966,43.0,2022-01-12T06:12:13.397,75.0,2022-01-11T13:27:13.767,75.0,2022-01-11T17:14:05.255,42.8
88,2022-01-12T14:42:13.217,44.0,2022-01-11T10:37:13.827,43.0,2022-01-12T06:37:13.417,75.0,2022-01-11T13:57:13.692,75.0,2022-01-11T17:27:25.256,43.0
89,2022-01-12T15:07:13.238,44.0,2022-01-11T10:40:32.961,44.0,2022-01-12T07:07:13.342,75.0,2022-01-11T14:22:13.712,75.0,2022-01-11T17:48:20.278,43.0
90,2022-01-12T15:37:13.163,44.0,2022-01-11T10:42:40.959,43.0,2022-01-12T07:32:13.363,75.0,2022-01-11T14:47:13.733,75.0,2022-01-11T17:54:03.26,43.0
91,2022-01-12T16:02:13.183,44.0,2022-01-11T10:46:04.961,44.0,2022-01-12T07:57:13.383,75.0,2022-01-11T15:17:13.658,75.0,2022-01-11T18:02:11.145,43.0
92,2022-01-12T16:27:13.204,44.0,2022-01-11T10:51:06.977,43.0,2022-01-12T08:27:13.308,75.0,2022-01-11T15:42:13.678,75.0,2022-01-11T18:17:45.165,43.0
93,2022-01-12T16:57:13.129,44.0,2022-01-11T10:52:10.984,44.0,2022-01-12T08:52:13.329,75.0,2022-01-11T16:07:13.699,75.0,2022-01-11T18:23:23.202,43.0
94,2022-01-12T17:22:13.15,44.0,2022-01-11T11:02:13.747,44.0,2022-01-12T09:17:13.349,75.0,2022-01-11T16:32:13.62,75.0,2022-01-11T18:34:25.267,42.8
95,2022-01-12T17:52:13.074,44.0,2022-01-11T11:06:46.639,43.0,2022-01-12T09:47:13.174,75.0,2022-01-11T16:57:13.64,75.0,2022-01-11T18:36:43.296,43.0
96,2022-01-12T18:17:13.095,44.0,2022-01-11T11:17:13.76,43.0,2022-01-12T10:17:13.099,75.0,2022-01-11T17:22:13.661,75.0,2022-01-11T18:42:54.265,42.9
97,2022-01-12T18:42:13.116,44.0,2022-01-11T11:19:23.661,44.0,2022-01-12T10:42:13.319,75.0,2022-01-11T17:47:13.682,75.0,2022-01-11T18:57:24.123,42.8
98,2022-01-12T19:07:13.136,44.0,2022-01-11T11:19:38.668,44.0,2022-01-12T11:07:13.44,75.0,2022-01-11T18:17:13.606,75.0,2022-01-11T19:06:39.14,43.1
99,2022-01-12T19:37:13.061,44.0,2022-01-11T11:19:54.658,43.0,2022-01-12T11:32:13.461,75.0,2022-01-11T18:42:13.627,75.0,2022-01-11T19:15:30.196,43.0
